[14-Nov-2018 13:47:15 UTC] PHP Fatal error:  Class 'Controller' not found in /home/ubuntu/workspace/mypage/app/Http/Controllers/StaticPagesController.php on line 3
[14-Nov-2018 13:47:15 UTC] PHP Stack trace:
[14-Nov-2018 13:47:15 UTC] PHP   1. {main}() /home/ubuntu/workspace/mypage/public/index.php:0
[14-Nov-2018 13:47:15 UTC] PHP   2. Illuminate\Foundation\Http\Kernel->handle() /home/ubuntu/workspace/mypage/public/index.php:54
[14-Nov-2018 13:47:15 UTC] PHP   3. Illuminate\Foundation\Http\Kernel->sendRequestThroughRouter() /home/ubuntu/workspace/mypage/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:99
[14-Nov-2018 13:47:15 UTC] PHP   4. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/mypage/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:132
[14-Nov-2018 13:47:15 UTC] PHP   5. call_user_func:{/home/ubuntu/workspace/mypage/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/mypage/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[14-Nov-2018 13:47:15 UTC] PHP   6. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/mypage/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[14-Nov-2018 13:47:15 UTC] PHP   7. call_user_func:{/home/ubuntu/workspace/mypage/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32}() /home/ubuntu/workspace/mypage/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[14-Nov-2018 13:47:15 UTC] PHP   8. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/mypage/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[14-Nov-2018 13:47:15 UTC] PHP   9. call_user_func_array:{/home/ubuntu/workspace/mypage/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136}() /home/ubuntu/workspace/mypage/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[14-Nov-2018 13:47:15 UTC] PHP  10. Illuminate\Foundation\Http\Middleware\CheckForMaintenanceMode->handle() /home/ubuntu/workspace/mypage/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[14-Nov-2018 13:47:15 UTC] PHP  11. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/mypage/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/CheckForMaintenanceMode.php:44
[14-Nov-2018 13:47:15 UTC] PHP  12. call_user_func:{/home/ubuntu/workspace/mypage/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52}() /home/ubuntu/workspace/mypage/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52
[14-Nov-2018 13:47:15 UTC] PHP  13. Illuminate\Foundation\Http\Kernel->Illuminate\Foundation\Http\{closure}() /home/ubuntu/workspace/mypage/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52
[14-Nov-2018 13:47:15 UTC] PHP  14. Illuminate\Routing\Router->dispatch() /home/ubuntu/workspace/mypage/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:246
[14-Nov-2018 13:47:15 UTC] PHP  15. Illuminate\Routing\Router->dispatchToRoute() /home/ubuntu/workspace/mypage/vendor/laravel/framework/src/Illuminate/Routing/Router.php:675
[14-Nov-2018 13:47:15 UTC] PHP  16. Illuminate\Routing\Router->findRoute() /home/ubuntu/workspace/mypage/vendor/laravel/framework/src/Illuminate/Routing/Router.php:691
[14-Nov-2018 13:47:15 UTC] PHP  17. Illuminate\Routing\Router->substituteBindings() /home/ubuntu/workspace/mypage/vendor/laravel/framework/src/Illuminate/Routing/Router.php:825
[14-Nov-2018 13:47:15 UTC] PHP  18. Illuminate\Routing\Router->substituteImplicitBindings() /home/ubuntu/workspace/mypage/vendor/laravel/framework/src/Illuminate/Routing/Router.php:842
[14-Nov-2018 13:47:15 UTC] PHP  19. Illuminate\Routing\Route->signatureParameters() /home/ubuntu/workspace/mypage/vendor/laravel/framework/src/Illuminate/Routing/Router.php:857
[14-Nov-2018 13:47:15 UTC] PHP  20. ReflectionMethod->__construct() /home/ubuntu/workspace/mypage/vendor/laravel/framework/src/Illuminate/Routing/Route.php:280
[14-Nov-2018 13:47:15 UTC] PHP  21. spl_autoload_call() /home/ubuntu/workspace/mypage/vendor/laravel/framework/src/Illuminate/Routing/Route.php:280
[14-Nov-2018 13:47:15 UTC] PHP  22. Composer\Autoload\ClassLoader->loadClass() /home/ubuntu/workspace/mypage/vendor/laravel/framework/src/Illuminate/Routing/Route.php:280
[14-Nov-2018 13:47:15 UTC] PHP  23. Composer\Autoload\includeFile() /home/ubuntu/workspace/mypage/vendor/composer/ClassLoader.php:322
[14-Nov-2018 13:47:15 UTC] PHP  24. include() /home/ubuntu/workspace/mypage/vendor/composer/ClassLoader.php:444
